class,chapters,count,semantic_inference,canonical_component,compatibility_alias,safe_to_replace
answer,RHCSA-01 RHCSA-03 RHCSA-06 RHCSA-07 RHCSA-08 RHCSA-09 RHCSA-10 RHCSA-11 RHCSA-15 RHCSA-16 RHCSA-17 RHCSA-18 RHCSA-19 RHCSA-20 RHCSA-27 RHCSA-31 RHCSA-32 RHCSA-33,40,reference-solution,reference-solution,True,False
answer-heading,RHCSA-21,2,reference-solution,reference-solution,True,False
answer-label,RHCSA-03,1,reference-solution,reference-solution,True,False
atlas-intro,RHCSA-14,1,shared-compatible,shared-compatible,True,False
atomic-no,RHCSA-08,78,shared-compatible,shared-compatible,True,False
body-kicker,RHCSA-21 RHCSA-24 RHCSA-31 RHCSA-33,4,shared-compatible,shared-compatible,True,False
body-opening,RHCSA-19,1,shared-compatible,shared-compatible,True,False
body-start,RHCSA-11,1,shared-compatible,shared-compatible,True,False
boot-chain-diagram,RHCSA-30,1,shared-compatible,shared-compatible,True,False
boundary-note,RHCSA-03 RHCSA-18 RHCSA-20 RHCSA-23,4,shared-compatible,shared-compatible,True,False
chapter-body,RHCSA-31,1,shared-compatible,shared-compatible,True,False
chapter-cover,RHCSA-30 RHCSA-33,2,chapter-cover,chapter-cover,False,False
chapter-eyebrow,RHCSA-19,1,shared-compatible,shared-compatible,True,False
chapter-kicker,RHCSA-07 RHCSA-29,2,shared-compatible,shared-compatible,True,False
chapter-label,RHCSA-04 RHCSA-09 RHCSA-10 RHCSA-13 RHCSA-23 RHCSA-32,6,shared-compatible,shared-compatible,True,False
chapter-mark,RHCSA-12 RHCSA-15,2,shared-compatible,shared-compatible,True,False
chapter-marker,RHCSA-25,1,shared-compatible,shared-compatible,True,False
chapter-opening,RHCSA-01 RHCSA-04 RHCSA-09 RHCSA-10 RHCSA-12 RHCSA-15 RHCSA-18 RHCSA-23 RHCSA-27 RHCSA-29 RHCSA-30 RHCSA-32 RHCSA-33,13,shared-compatible,shared-compatible,True,False
cheatsheet,RHCSA-03 RHCSA-14 RHCSA-19 RHCSA-21 RHCSA-24 RHCSA-32,58,shared-compatible,shared-compatible,True,False
classic,RHCSA-15,2,shared-compatible,shared-compatible,True,False
classic-task,RHCSA-05 RHCSA-08 RHCSA-11 RHCSA-12 RHCSA-19 RHCSA-21 RHCSA-23 RHCSA-24 RHCSA-25 RHCSA-28 RHCSA-30,26,classic-task,classic-task,False,False
close,RHCSA-16,1,shared-compatible,shared-compatible,True,False
closing,RHCSA-15 RHCSA-20 RHCSA-25 RHCSA-28 RHCSA-32,5,shared-compatible,shared-compatible,True,False
closing-addendum,RHCSA-19,1,shared-compatible,shared-compatible,True,False
closure,RHCSA-06 RHCSA-07 RHCSA-08 RHCSA-21,5,shared-compatible,shared-compatible,True,False
cmd-entry,RHCSA-10,5,shared-compatible,shared-compatible,True,False
cmd-group,RHCSA-29,5,shared-compatible,shared-compatible,True,False
command-card,RHCSA-03,7,operation-quickref,operation-quickref,True,False
command-entry,RHCSA-11 RHCSA-16 RHCSA-23 RHCSA-25 RHCSA-26 RHCSA-31,41,operation-quickref,operation-quickref,True,False
command-group,RHCSA-05 RHCSA-08 RHCSA-12 RHCSA-17,25,operation-quickref,operation-quickref,True,False
concept,RHCSA-21,6,concept-block,concept-block,True,False
concept-badge,RHCSA-04 RHCSA-08 RHCSA-13 RHCSA-17 RHCSA-19 RHCSA-22 RHCSA-23 RHCSA-30 RHCSA-32,63,concept-block,concept-block,True,False
concept-block,RHCSA-01 RHCSA-03 RHCSA-05 RHCSA-08 RHCSA-11 RHCSA-12 RHCSA-16 RHCSA-17 RHCSA-22 RHCSA-24 RHCSA-26 RHCSA-27 RHCSA-28 RHCSA-30 RHCSA-31 RHCSA-32,114,concept-block,concept-block,False,False
concept-box,RHCSA-33,7,concept-block,concept-block,True,False
concept-card,RHCSA-04 RHCSA-09 RHCSA-10 RHCSA-14 RHCSA-15 RHCSA-18 RHCSA-19 RHCSA-20 RHCSA-23 RHCSA-25 RHCSA-29,76,concept-block,concept-block,True,False
concept-chip,RHCSA-07,6,concept-block,concept-block,True,False
