file,bytes,pages,status
01-shell-parsing-expansion.pdf,1506004,38,PASS
02-io-redirection-pipelines.pdf,1344828,30,PASS
03-local-help-command-discovery.pdf,1351890,24,PASS
04-filesystem-paths-types-links.pdf,1258078,28,PASS
05-file-search-text-processing.pdf,1667105,35,PASS
06-copy-archive-compression-transfer.pdf,1357769,32,PASS
07-users-groups-lifecycle.pdf,1350423,29,PASS
08-unix-permissions-umask-special-bits.pdf,1426843,30,PASS
09-acl-collaboration-directories.pdf,1307787,29,PASS
10-sudo-least-privilege.pdf,1256072,28,PASS
11-processes-jobs-signals.pdf,1562690,30,PASS
12-systemd-units-services.pdf,1688947,37,PASS
13-journald-rsyslog-logrotate.pdf,1402649,33,PASS
14-time-timezone-rtc-chrony.pdf,1258973,28,PASS
15-scheduling-at-cron-timers.pdf,1414462,35,PASS
16-rpm-packages-transactions.pdf,1486588,33,PASS
17-dnf-repositories-modules-groups.pdf,1540609,36,PASS
18-networkmanager-ipv4-routing.pdf,1348200,31,PASS
19-hostname-nss-dns.pdf,1360586,31,PASS
20-ssh-client-server-keys.pdf,1347523,21,PASS
21-firewalld-service-access-chain.pdf,1251215,27,PASS
22-block-devices-partitions-signatures.pdf,1419612,23,PASS
23-filesystems-labels-uuid-capacity.pdf,1420513,32,PASS
24-mounts-fstab-swap.pdf,1242601,32,PASS
25-lvm.pdf,1170614,26,PASS
26-nfs-client.pdf,1284521,26,PASS
27-autofs.pdf,1143712,27,PASS
28-selinux-model-context-avc.pdf,1465007,30,PASS
29-selinux-files-ports-booleans.pdf,1248968,25,PASS
30-boot-grub-recovery.pdf,1437661,36,PASS
31-podman-images-containers-rootless.pdf,1318080,22,PASS
32-podman-systemd-quadlet.pdf,1174510,29,PASS
33-comprehensive.pdf,1589276,37,PASS
