chapter,file,pages,bytes,sha256
RHCSA-01,01-shell-parsing-expansion.pdf,38,1567977,b47c510b89422467a16b597b20125270e6dc5117c6d6a3d8adb157ca1c829d31
RHCSA-02,02-io-redirection-pipelines.pdf,32,1407138,e5f0355284adf86495863ecbfa8855fd1943d241f5c11bc0d7b4b3d3327c01a3
RHCSA-03,03-local-help-command-discovery.pdf,28,1462082,9d9a747137fa9e01825210519a72228ac4de57b1d9aef10e1747c6a76f8b7568
RHCSA-04,04-filesystem-paths-types-links.pdf,30,1320751,04a23e498691fb7b786c9545565403205dcf3ce7f06ae85a1a8493b34156fcac
RHCSA-05,05-file-search-text-processing.pdf,40,1725527,1c49eb1958bc010065084cf16abffdd83bed47b4c68f7460d3d8c0a87a4fbc81
RHCSA-06,06-copy-archive-compression-transfer.pdf,35,1423125,c9592de69fd74664f8b4ef68628f801f4156aa7ffa6d456ff6a6a9815faab18d
RHCSA-07,07-users-groups-lifecycle.pdf,32,1409715,f9df8fe1111902f599d43a03027f1a976a464f9e989094a1e87629c150bcc25f
RHCSA-08,08-unix-permissions-umask-special-bits.pdf,33,1480643,8aa080457421a9a714c716c4eaec87c7c53a2b2e9341300532d1dcbfe3f97351
RHCSA-09,09-acl-collaboration-directories.pdf,31,1348999,ed23f18612c7f3c2763fe0b84515f2d65cac9f3ed75051b6e4ec7bc3c2984597
RHCSA-10,10-sudo-least-privilege.pdf,30,1298312,e0c14a1c3695b7f5aa420d1b0bd4455e664ab7a35c714f94176cebc9e150e214
RHCSA-11,11-processes-jobs-signals.pdf,33,1627467,c8b3e1a4fa24838cac8b7777cfbb60932fbe27017ad07de8de70429337971c71
RHCSA-12,12-systemd-units-services.pdf,42,1731902,adb6b92dbfa87ab510b5b944b1a3f3645c8a36c88bce2b4ca05f3aa85e9f6340
RHCSA-13,13-journald-rsyslog-logrotate.pdf,37,1453484,35fa53c37e404c1738e6e2ca52d6d3461fceb7ab51428794aa00a6636be9ffd6
RHCSA-14,14-time-timezone-rtc-chrony.pdf,30,1315336,9f62b7da147728d1f8fd2569a42d93bbef6405b180de55951b57f21f9917474e
RHCSA-15,15-scheduling-at-cron-timers.pdf,39,1474200,a83994d7c41422e79c2d0713330b3d6b26ea6c1827cffb8a87965cc191305b03
RHCSA-16,16-rpm-packages-transactions.pdf,35,1536684,b4c5da47e3a28794fc972e8a0057c9b52a44817dfcb84f5ea64cde8f369d08f3
RHCSA-17,17-dnf-repositories-modules-groups.pdf,42,1551172,fc940837a14e24a6d1c26ddbcb513d4c8d5ec8b1bb41900b705ca5b8b8b2170e
RHCSA-18,18-networkmanager-ipv4-routing.pdf,33,1424098,1a651cc57d2042180aecae978dcf2eaf394d1331db90c5cdce912fb7496188c6
RHCSA-19,19-hostname-nss-dns.pdf,35,1431426,aa4975d407b89841064a2f686cd7ef13de041a1b5d6e906236cd9fae29320a95
RHCSA-20,20-ssh-client-server-keys.pdf,24,1400723,3b7212bfbfec121ac9888faf4f4660fd7aa764f361fd8595c550c421ebec0434
RHCSA-21,21-firewalld-service-access-chain.pdf,30,1296718,4c288963c70fce59d95097f4bd795c63a018312d76f4ab742291aea75e4edad6
RHCSA-22,22-block-devices-partitions-signatures.pdf,26,1465642,c96af81a982f0034cee82777cb4e5ed5490ff2a5bff3a827c59d3ebe6d7501bd
RHCSA-23,23-filesystems-labels-uuid-capacity.pdf,34,1507696,6fbd7b0f683e732bb1f887912e1b632652d8e8a3f9a342c30069bb7b4f55e6f8
RHCSA-24,24-mounts-fstab-swap.pdf,33,1297812,1afe66caf536eaf346a9b6bbe442f2174a4b763619eb061ea815f3735977652c
RHCSA-25,25-lvm.pdf,30,1311246,61b70c741699da7ae0ccf455b5c6893f205781940d8feac6b1663feb2dfa93f3
RHCSA-26,26-nfs-client.pdf,28,1350945,be5c180731fd698da1c2b34f082964c79df1264cefa743a0e893f3f884eb3b89
RHCSA-27,27-autofs.pdf,31,1194561,98d80014053c6984059fe0f2cd2905addf1c2cadb70b830dcd0b5486d3c755ec
RHCSA-28,28-selinux-model-context-avc.pdf,31,1505266,1f8d9c8fd0638a783e80367e6330b3a80b12a5a489317d41fc6950010d57ab85
RHCSA-29,29-selinux-files-ports-booleans.pdf,28,1305847,f27526d2a30804619586287991a7443d65061b2d6ea04d9e01862ecee7b28421
RHCSA-30,30-boot-grub-recovery.pdf,39,1471230,98c79bad29b3ce831e60739c6b22816838ee531932fb5088470fa2a46c627230
RHCSA-31,31-podman-images-containers-rootless.pdf,26,1410750,a5ea28ee59ef2adb86c8c0074fbe3f8b8cabf8e98ac7f2f9f17a77d1bc82127a
RHCSA-32,32-podman-systemd-quadlet.pdf,32,1236291,d1d8c0419a60e3270309bc44437d88c515f26d2346d48823480e6cbb94101067
RHCSA-33,33-comprehensive.pdf,43,1669362,d3b33ffaf0ad895a05a8ca9e7565884d0ed5796e331b5cd9d5ed40c29de299d2
